Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Jul 27 11:39:12 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
999,1/1/2023,,57
999,1/2/2023,,56
999,1/3/2023,,54
999,1/4/2023,,52
999,1/5/2023,,52
999,1/6/2023,,52
999,1/7/2023,,50
999,1/8/2023,,49
999,1/9/2023,,50
999,1/10/2023,,56
999,1/11/2023,,57
999,1/12/2023,,55
999,1/13/2023,,51
999,1/14/2023,,48
999,1/15/2023,,50
999,1/16/2023,,50
999,1/17/2023,,51
999,1/18/2023,,55
999,1/19/2023,,64
999,1/20/2023,,62
999,1/21/2023,,61
999,1/22/2023,,63
999,1/23/2023,,63
999,1/24/2023,,61
999,1/25/2023,,60
999,1/26/2023,,60
999,1/27/2023,,60
999,1/28/2023,,64
999,1/29/2023,,64
999,1/30/2023,,63
999,1/31/2023,,62
999,2/1/2023,,64
999,2/2/2023,,63
999,2/3/2023,,62
999,2/4/2023,,67
999,2/5/2023,,66
999,2/6/2023,,66
999,2/7/2023,,65
999,2/8/2023,,79
999,2/9/2023,,79
999,2/10/2023,,76
999,2/11/2023,,73
999,2/12/2023,,72
999,2/13/2023,,72
999,2/14/2023,,80
999,2/15/2023,,76
999,2/16/2023,,77
999,2/17/2023,,81
999,2/18/2023,,83
999,2/19/2023,,85
999,2/20/2023,,91
999,2/21/2023,,98
999,2/22/2023,,103
999,2/23/2023,,101
999,2/24/2023,,99
999,2/25/2023,,96
999,2/26/2023,,100
999,2/27/2023,,109
999,2/28/2023,,112
999,3/1/2023,,117
999,3/2/2023,,116
999,3/3/2023,,118
999,3/4/2023,,126
999,3/5/2023,,122
999,3/6/2023,,118
999,3/7/2023,,116
999,3/8/2023,,113
999,3/9/2023,,112
999,3/10/2023,,111
999,3/11/2023,,114
999,3/12/2023,,117
999,3/13/2023,,124
999,3/14/2023,,128
999,3/15/2023,,123
999,3/16/2023,,124
999,3/17/2023,,122
999,3/18/2023,,119
999,3/19/2023,,117
999,3/20/2023,,114
999,3/21/2023,,112
999,3/22/2023,,110
999,3/23/2023,,108
999,3/24/2023,,113
999,3/25/2023,,118
999,3/26/2023,,118
999,3/27/2023,,116
999,3/28/2023,,114
999,3/29/2023,,113
999,3/30/2023,,112
999,3/31/2023,,111
999,4/1/2023,,124
999,4/2/2023,,120
999,4/3/2023,,126
999,4/4/2023,,125
999,4/5/2023,,122
999,4/6/2023,,121
999,4/7/2023,,118
999,4/8/2023,,115
999,4/9/2023,,118
999,4/10/2023,,115
999,4/11/2023,,116
999,4/12/2023,,120
999,4/13/2023,,119
999,4/14/2023,,118
999,4/15/2023,,116
999,4/16/2023,,116
999,4/17/2023,,118
999,4/18/2023,,117
999,4/19/2023,,118
999,4/20/2023,,118
999,4/21/2023,,123
999,4/22/2023,,122
999,4/23/2023,,118
999,4/24/2023,,117
999,4/25/2023,,118
999,4/26/2023,,116
999,4/27/2023,,114
999,4/28/2023,,112
999,4/29/2023,,109
999,4/30/2023,,106
999,5/1/2023,,104
999,5/2/2023,,103
999,5/3/2023,,100
999,5/4/2023,,96
999,5/5/2023,,94
999,5/6/2023,,93
999,5/7/2023,,92
999,5/8/2023,,90
999,5/9/2023,,89
999,5/10/2023,,88
999,5/11/2023,,86
999,5/12/2023,,84
999,5/13/2023,,81
999,5/14/2023,,78
999,5/15/2023,,74
999,5/16/2023,,70
999,5/17/2023,,67
999,5/18/2023,,64
999,5/19/2023,,61
999,5/20/2023,,58
999,5/21/2023,,54
999,5/22/2023,,52
999,5/23/2023,,51
999,5/24/2023,,50
999,5/25/2023,,49
999,5/26/2023,,47
999,5/27/2023,,42
999,5/28/2023,,39
999,5/29/2023,,37
999,5/30/2023,,35
999,5/31/2023,,32
999,6/1/2023,,32
999,6/2/2023,,28
999,6/3/2023,,26
999,6/4/2023,,22
999,6/5/2023,,21
999,6/6/2023,,18
999,6/7/2023,,15
999,6/8/2023,,12
999,6/9/2023,,8
999,6/10/2023,,7
999,6/11/2023,,5
999,6/12/2023,,2
999,6/13/2023,,0
999,6/14/2023,,0
999,6/15/2023,,0
999,6/16/2023,,0
999,6/17/2023,,0
999,6/18/2023,,0
999,6/19/2023,,0
999,6/20/2023,,0
999,6/21/2023,,0
999,6/22/2023,,0
999,6/23/2023,,0
999,6/24/2023,,0
999,6/25/2023,,0
999,6/26/2023,,0
999,6/27/2023,,0
999,6/28/2023,,0
999,6/29/2023,,0
999,6/30/2023,,0
999,7/1/2023,,0
999,7/2/2023,,0
999,7/3/2023,,0
999,7/4/2023,,0
999,7/5/2023,,0
999,7/6/2023,,0
999,7/7/2023,,0
999,7/8/2023,,0
999,7/9/2023,,0
999,7/10/2023,,0
999,7/11/2023,,0
999,7/12/2023,,0
999,7/13/2023,,0
999,7/14/2023,,0
999,7/15/2023,,0
999,7/16/2023,,0
999,7/17/2023,,0
999,7/18/2023,,0
999,7/19/2023,,0
999,7/20/2023,,0
999,7/21/2023,,0
999,7/22/2023,,0
999,7/23/2023,,0
999,7/24/2023,,0
999,7/25/2023,,-2
999,7/26/2023,,-2
999,7/27/2023,,-2
